epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3344.77,1.22181,0.82691,1.22382,0.97558,0.94893,0.9863,0.71558,1.01067,0.5587,1.13196,0.005578,0.005578,0.005578
69,3394.44,1.22537,0.82866,1.20579,0.97668,0.95052,0.98651,0.71773,1.00857,0.56479,1.13603,0.005512,0.005512,0.005512
70,3443.3,1.23662,0.83321,1.2182,0.96844,0.94792,0.98434,0.71272,1.00392,0.56268,1.13526,0.005446,0.005446,0.005446
71,3492.85,1.2314,0.83676,1.22368,0.97158,0.94846,0.98352,0.71398,1.00959,0.56041,1.13616,0.00538,0.00538,0.00538
72,3542.27,1.21572,0.80488,1.2094,0.96944,0.96007,0.98457,0.71996,1.00743,0.55423,1.12217,0.005314,0.005314,0.005314
73,3591.86,1.19929,0.80432,1.20655,0.97382,0.9615,0.98708,0.72224,0.98319,0.54323,1.11969,0.005248,0.005248,0.005248
74,3640.24,1.21437,0.81475,1.2134,0.97301,0.95458,0.98661,0.72856,0.97528,0.53744,1.1139,0.005182,0.005182,0.005182
75,3689.73,1.2087,0.81091,1.21124,0.97412,0.96091,0.98613,0.72012,0.9985,0.54144,1.12063,0.005116,0.005116,0.005116
76,3737.76,1.18306,0.78267,1.19576,0.97761,0.95902,0.9875,0.71921,0.99977,0.54018,1.12861,0.00505,0.00505,0.00505
77,3786.16,1.19846,0.79822,1.20652,0.97659,0.95839,0.98773,0.72217,0.9928,0.5315,1.12278,0.004984,0.004984,0.004984
78,3834.31,1.20091,0.80191,1.20211,0.97377,0.95271,0.98332,0.72918,0.9672,0.55104,1.10799,0.004918,0.004918,0.004918
79,3882.9,1.17948,0.79321,1.19438,0.97569,0.96148,0.98799,0.72844,0.96785,0.53543,1.11353,0.004852,0.004852,0.004852
80,3932.8,1.17798,0.78521,1.19955,0.97535,0.96091,0.98754,0.72277,0.9848,0.53185,1.12213,0.004786,0.004786,0.004786
81,3985.22,1.18347,0.78592,1.19179,0.97917,0.96217,0.98796,0.73014,0.96939,0.53043,1.0993,0.00472,0.00472,0.00472
82,4034.2,1.18579,0.79301,1.19356,0.97694,0.96175,0.98971,0.74006,0.95395,0.52183,1.0828,0.004654,0.004654,0.004654
83,4084.61,1.17282,0.77575,1.18189,0.97804,0.95475,0.9887,0.7253,0.98293,0.52372,1.10533,0.004588,0.004588,0.004588
84,4134.28,1.18287,0.78125,1.19208,0.97081,0.96721,0.98935,0.73959,0.95518,0.51587,1.09008,0.004522,0.004522,0.004522
85,4184.52,1.16506,0.76591,1.18493,0.98073,0.96254,0.98846,0.73823,0.94966,0.51759,1.09243,0.004456,0.004456,0.004456
86,4232.57,1.16184,0.77384,1.18126,0.97321,0.96784,0.98857,0.73991,0.94659,0.51406,1.09493,0.00439,0.00439,0.00439
87,4280.15,1.16555,0.76651,1.17733,0.97882,0.9614,0.98923,0.74177,0.93797,0.51324,1.08623,0.004324,0.004324,0.004324
88,4329.03,1.16001,0.76387,1.17906,0.98566,0.96028,0.98912,0.7421,0.94778,0.50389,1.08964,0.004258,0.004258,0.004258
89,4377.73,1.15735,0.76132,1.17786,0.97883,0.96203,0.98755,0.72736,0.96561,0.51677,1.09273,0.004192,0.004192,0.004192
90,4426.65,1.15094,0.76027,1.17047,0.97713,0.9628,0.98991,0.74594,0.93962,0.50641,1.08616,0.004126,0.004126,0.004126
91,4474.89,1.1376,0.75205,1.1695,0.97795,0.96658,0.98958,0.74868,0.92131,0.49453,1.07354,0.00406,0.00406,0.00406
92,4523.84,1.15597,0.76098,1.17717,0.97608,0.95965,0.98987,0.74841,0.93235,0.49607,1.08696,0.003994,0.003994,0.003994
93,4572.57,1.15246,0.75189,1.16617,0.97852,0.96658,0.98882,0.74575,0.93208,0.49696,1.08067,0.003928,0.003928,0.003928
94,4621.47,1.12957,0.73205,1.16209,0.98091,0.9628,0.98905,0.74802,0.93135,0.49248,1.07783,0.003862,0.003862,0.003862
95,4668.91,1.1401,0.75249,1.16748,0.97842,0.97176,0.98977,0.75085,0.92348,0.49683,1.07442,0.003796,0.003796,0.003796
96,4717.17,1.13247,0.74379,1.16955,0.97663,0.96847,0.98997,0.75052,0.92842,0.49252,1.07422,0.00373,0.00373,0.00373
97,4764.65,1.12851,0.73915,1.16258,0.97424,0.96469,0.98915,0.7513,0.91781,0.49354,1.07184,0.003664,0.003664,0.003664
98,4811.06,1.12967,0.73618,1.16138,0.9757,0.96595,0.98932,0.74955,0.92199,0.49088,1.078,0.003598,0.003598,0.003598
99,4860.36,1.12738,0.73867,1.16087,0.97918,0.96469,0.9892,0.75598,0.91181,0.48388,1.07108,0.003532,0.003532,0.003532
100,4908.47,1.10923,0.73074,1.14875,0.9808,0.96618,0.98887,0.75204,0.91195,0.48224,1.06864,0.003466,0.003466,0.003466
101,4957.01,1.11908,0.73526,1.15936,0.97965,0.97163,0.99007,0.75612,0.90596,0.48308,1.06108,0.0034,0.0034,0.0034
102,5005.49,1.11085,0.71828,1.14683,0.97965,0.97111,0.98999,0.75431,0.90728,0.48135,1.06438,0.003334,0.003334,0.003334
103,5055.36,1.12722,0.72004,1.16185,0.98381,0.97037,0.98988,0.75573,0.91347,0.481,1.07426,0.003268,0.003268,0.003268
104,5102.02,1.11005,0.71453,1.15304,0.97833,0.96776,0.98911,0.7541,0.90239,0.48011,1.06817,0.003202,0.003202,0.003202
105,5150.1,1.09411,0.70734,1.14314,0.98389,0.96784,0.99046,0.75737,0.89566,0.47476,1.06602,0.003136,0.003136,0.003136
106,5197.22,1.09647,0.71403,1.14964,0.98276,0.97041,0.99046,0.75775,0.90276,0.47287,1.06439,0.00307,0.00307,0.00307
107,5244.32,1.09381,0.71641,1.14345,0.98825,0.96721,0.99019,0.76354,0.89188,0.46754,1.06113,0.003004,0.003004,0.003004
108,5293.47,1.08892,0.69582,1.13704,0.9861,0.971,0.99018,0.76165,0.90118,0.46569,1.05951,0.002938,0.002938,0.002938
109,5343.48,1.07727,0.69928,1.13418,0.98423,0.96595,0.99015,0.7645,0.8952,0.46921,1.058,0.002872,0.002872,0.002872
110,5392.01,1.07523,0.69674,1.13366,0.9809,0.97145,0.99051,0.76216,0.90053,0.46911,1.05701,0.002806,0.002806,0.002806
111,5442.39,1.07162,0.69272,1.1286,0.97977,0.97694,0.99155,0.76602,0.89272,0.46168,1.05326,0.00274,0.00274,0.00274
112,5488.75,1.06103,0.68322,1.12516,0.98218,0.97322,0.99159,0.7651,0.89081,0.45777,1.04767,0.002674,0.002674,0.002674
113,5539.21,1.06658,0.68414,1.13143,0.98219,0.9737,0.99091,0.76323,0.89814,0.46155,1.05437,0.002608,0.002608,0.002608
114,5588.69,1.06416,0.68742,1.12776,0.97666,0.97612,0.99015,0.76536,0.88646,0.46024,1.04846,0.002542,0.002542,0.002542
115,5638.48,1.06344,0.67749,1.13535,0.97969,0.97478,0.99082,0.76829,0.87832,0.45593,1.04855,0.002476,0.002476,0.002476
116,5686.24,1.05768,0.67279,1.123,0.98107,0.98009,0.99151,0.7677,0.87813,0.45359,1.04623,0.00241,0.00241,0.00241
117,5733,1.04295,0.66384,1.11973,0.98225,0.9768,0.99131,0.76694,0.88072,0.45454,1.047,0.002344,0.002344,0.002344
118,5782.78,1.047,0.66697,1.11092,0.98596,0.97385,0.99166,0.76678,0.87797,0.45343,1.0441,0.002278,0.002278,0.002278
119,5828.73,1.05426,0.67258,1.1215,0.9816,0.97564,0.99102,0.76691,0.8822,0.45652,1.04383,0.002212,0.002212,0.002212
120,5877.44,1.05307,0.6691,1.12126,0.98035,0.97524,0.99087,0.76862,0.88085,0.45602,1.04247,0.002146,0.002146,0.002146
121,5925.42,1.05066,0.67294,1.1181,0.98161,0.97612,0.9908,0.76642,0.88072,0.45547,1.04109,0.00208,0.00208,0.00208
122,5974.23,1.0358,0.66162,1.11016,0.97982,0.97793,0.99086,0.76805,0.87688,0.45171,1.038,0.002014,0.002014,0.002014
123,6022.97,1.04113,0.66176,1.10893,0.9829,0.9773,0.9916,0.77038,0.87513,0.44893,1.0377,0.001948,0.001948,0.001948
124,6072.34,1.04208,0.65521,1.10426,0.9814,0.97667,0.99173,0.77141,0.87524,0.44685,1.03541,0.001882,0.001882,0.001882
125,6119.86,1.02377,0.64161,1.09755,0.9873,0.97163,0.99153,0.77212,0.87555,0.44604,1.03487,0.001816,0.001816,0.001816
126,6170.05,1.01762,0.64147,1.09507,0.98645,0.97352,0.99195,0.77054,0.87521,0.44564,1.03471,0.00175,0.00175,0.00175
127,6219.07,1.01947,0.64669,1.10408,0.98596,0.97383,0.99174,0.77473,0.87073,0.44312,1.03292,0.001684,0.001684,0.001684
128,6267.88,1.02238,0.63379,1.09858,0.98506,0.97415,0.99128,0.77452,0.8719,0.44078,1.0338,0.001618,0.001618,0.001618
129,6317.57,1.00638,0.63756,1.09072,0.98534,0.97415,0.99123,0.77641,0.86525,0.43866,1.03166,0.001552,0.001552,0.001552
130,6367.33,0.99873,0.63015,1.08941,0.98478,0.97478,0.99148,0.77672,0.86518,0.43748,1.03143,0.001486,0.001486,0.001486
131,6415.67,1.00063,0.63504,1.08864,0.98453,0.97604,0.99163,0.7796,0.85738,0.43618,1.02873,0.00142,0.00142,0.00142
132,6465.41,1.0108,0.62254,1.09246,0.9841,0.97592,0.99176,0.78037,0.85604,0.43533,1.02663,0.001354,0.001354,0.001354
133,6514.48,0.99581,0.6262,1.08938,0.98411,0.97612,0.99169,0.78051,0.85916,0.43594,1.02601,0.001288,0.001288,0.001288
134,6563.69,0.97565,0.61887,1.08107,0.98529,0.9773,0.99164,0.78296,0.85549,0.43519,1.02508,0.001222,0.001222,0.001222
135,6610.15,0.9869,0.61701,1.08116,0.98648,0.97604,0.99175,0.78121,0.85566,0.4346,1.02464,0.001156,0.001156,0.001156
136,6659.46,0.99613,0.62486,1.08716,0.98475,0.97685,0.99201,0.78052,0.85809,0.43401,1.02489,0.00109,0.00109,0.00109
137,6708.05,0.98575,0.61706,1.08213,0.98411,0.97597,0.99209,0.78022,0.85878,0.43411,1.02469,0.001024,0.001024,0.001024
138,6756.67,0.985,0.61494,1.0849,0.98288,0.97721,0.99162,0.78048,0.85708,0.43309,1.02331,0.000958,0.000958,0.000958
139,6804.35,0.97634,0.61141,1.07805,0.9835,0.97744,0.99173,0.78261,0.85491,0.43325,1.02222,0.000892,0.000892,0.000892
140,6851.38,0.96388,0.59089,1.06859,0.97877,0.98045,0.99178,0.78352,0.85323,0.43196,1.02209,0.000826,0.000826,0.000826
141,6901.28,0.86788,0.48979,1.04351,0.98348,0.97613,0.99145,0.7842,0.85079,0.43273,1.02197,0.00076,0.00076,0.00076
142,6949.35,0.8645,0.47728,1.04377,0.98454,0.97478,0.99123,0.78533,0.84725,0.43108,1.02033,0.000694,0.000694,0.000694
143,6999.06,0.84128,0.47264,1.03465,0.98471,0.97481,0.99102,0.78717,0.84381,0.42951,1.01825,0.000628,0.000628,0.000628
144,7047.92,0.84975,0.46712,1.03233,0.98227,0.97783,0.991,0.78912,0.83837,0.42805,1.0157,0.000562,0.000562,0.000562
145,7096.87,0.83479,0.47186,1.02669,0.98597,0.975,0.99108,0.7898,0.83606,0.42603,1.01453,0.000496,0.000496,0.000496
146,7145.23,0.83431,0.46268,1.02816,0.98599,0.97611,0.99098,0.79301,0.83195,0.42559,1.01299,0.00043,0.00043,0.00043
147,7193.78,0.83013,0.45889,1.02639,0.98618,0.97667,0.99102,0.79552,0.82946,0.42458,1.01172,0.000364,0.000364,0.000364
148,7242.13,0.82741,0.45554,1.0287,0.98738,0.97604,0.99118,0.79572,0.82679,0.42376,1.01042,0.000298,0.000298,0.000298
149,7290.94,0.81099,0.44758,1.01897,0.98787,0.97576,0.99118,0.79676,0.82554,0.42214,1.00993,0.000232,0.000232,0.000232
150,7341.22,0.80465,0.44634,1.0189,0.98804,0.97478,0.99114,0.79655,0.82427,0.42103,1.00927,0.000166,0.000166,0.000166
