epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,20118.8,1.13844,0.73086,1.21347,0.93014,0.66265,0.7464,0.48384,1.23045,0.76851,1.46722,0.00568833,0.00568833,0.00568833
67,20421.5,1.14203,0.72445,1.21363,0.92742,0.65897,0.74629,0.48228,1.23577,0.77216,1.47025,0.005622,0.005622,0.005622
68,20725,1.13656,0.72002,1.21163,0.92628,0.65018,0.74626,0.48407,1.23036,0.76885,1.46495,0.00555567,0.00555567,0.00555567
69,21027.9,1.13319,0.71868,1.21479,0.91907,0.65092,0.74527,0.48406,1.2278,0.7668,1.46281,0.00548933,0.00548933,0.00548933
70,21331,1.1406,0.72702,1.21474,0.91872,0.6527,0.74807,0.48636,1.22557,0.76229,1.46117,0.005423,0.005423,0.005423
71,21634.3,1.12691,0.71347,1.20685,0.91759,0.65651,0.75005,0.489,1.22132,0.76114,1.45933,0.00535667,0.00535667,0.00535667
72,21939.1,1.1242,0.71389,1.20605,0.92442,0.66158,0.75112,0.48787,1.21994,0.76171,1.45824,0.00529033,0.00529033,0.00529033
73,22242.2,1.12783,0.71513,1.20721,0.93353,0.65236,0.75295,0.48832,1.21953,0.75784,1.4592,0.005224,0.005224,0.005224
74,22545.1,1.12055,0.70805,1.2067,0.93332,0.65602,0.75489,0.48937,1.21805,0.75251,1.45938,0.00515767,0.00515767,0.00515767
75,22848.4,1.1263,0.69641,1.20512,0.93652,0.65553,0.75642,0.49018,1.21373,0.75222,1.45894,0.00509133,0.00509133,0.00509133
76,23152.8,1.12332,0.70978,1.20383,0.93318,0.66567,0.75829,0.4921,1.21231,0.75089,1.45829,0.005025,0.005025,0.005025
77,23457,1.11106,0.69729,1.19884,0.93615,0.66713,0.75624,0.49396,1.21202,0.75189,1.45702,0.00495867,0.00495867,0.00495867
78,23761.5,1.11352,0.70028,1.19623,0.93387,0.66666,0.75434,0.49213,1.21112,0.75137,1.45624,0.00489233,0.00489233,0.00489233
79,24064.8,1.1088,0.69862,1.19815,0.93403,0.66622,0.7548,0.49407,1.21043,0.75065,1.45569,0.004826,0.004826,0.004826
80,24369.1,1.11591,0.70755,1.2041,0.93038,0.66972,0.75466,0.49305,1.21161,0.74962,1.45639,0.00475967,0.00475967,0.00475967
81,24672.8,1.11023,0.68932,1.19786,0.93846,0.67069,0.75684,0.49452,1.20883,0.7484,1.45504,0.00469333,0.00469333,0.00469333
82,24978.6,1.10882,0.69031,1.20083,0.93895,0.67029,0.75592,0.49476,1.208,0.7469,1.45415,0.004627,0.004627,0.004627
83,25283.1,1.10688,0.69132,1.18774,0.9424,0.66794,0.75687,0.49709,1.20574,0.74469,1.45243,0.00456067,0.00456067,0.00456067
84,25587.8,1.10346,0.68668,1.18991,0.94174,0.66826,0.75522,0.49766,1.20374,0.74437,1.45158,0.00449433,0.00449433,0.00449433
85,25892.2,1.10452,0.68011,1.19259,0.94236,0.66405,0.75605,0.49976,1.20181,0.74277,1.45022,0.004428,0.004428,0.004428
86,26197.2,1.09583,0.68292,1.18868,0.9406,0.66412,0.75764,0.49988,1.20165,0.74233,1.44972,0.00436167,0.00436167,0.00436167
87,26501.8,1.09478,0.67717,1.18844,0.93973,0.66506,0.75763,0.50015,1.2003,0.74098,1.44887,0.00429533,0.00429533,0.00429533
88,26806.7,1.09263,0.66929,1.18213,0.94334,0.66153,0.75799,0.50064,1.20058,0.73986,1.44896,0.004229,0.004229,0.004229
89,27114.4,1.0915,0.67975,1.18569,0.94019,0.66352,0.75874,0.50082,1.20078,0.73959,1.44929,0.00416267,0.00416267,0.00416267
90,27419.1,1.08212,0.66823,1.18558,0.94229,0.66252,0.76045,0.50146,1.20057,0.73902,1.44935,0.00409633,0.00409633,0.00409633
91,27723.3,1.08486,0.67712,1.18519,0.94367,0.66562,0.76058,0.50357,1.20063,0.73855,1.44909,0.00403,0.00403,0.00403
92,28028.8,1.08004,0.66815,1.18039,0.94061,0.67067,0.75797,0.50304,1.19979,0.73835,1.44899,0.00396367,0.00396367,0.00396367
93,28331.1,1.08437,0.66806,1.18312,0.94007,0.6741,0.75776,0.50226,1.19947,0.73877,1.44849,0.00389733,0.00389733,0.00389733
94,28634,1.07455,0.66185,1.17918,0.93844,0.67525,0.75799,0.50234,1.1988,0.73785,1.44788,0.003831,0.003831,0.003831
95,28936.7,1.07657,0.65515,1.17688,0.94145,0.67288,0.75862,0.50173,1.1983,0.73814,1.44754,0.00376467,0.00376467,0.00376467
96,29239.7,1.06324,0.64474,1.17168,0.94211,0.67452,0.7591,0.50299,1.19802,0.73775,1.44738,0.00369833,0.00369833,0.00369833
97,29542.5,1.06174,0.65163,1.17148,0.94532,0.6678,0.7592,0.50255,1.19712,0.73755,1.44687,0.003632,0.003632,0.003632
98,29845.2,1.06377,0.64444,1.16851,0.94732,0.67063,0.76015,0.50327,1.19609,0.73617,1.44573,0.00356567,0.00356567,0.00356567
99,30147.5,1.0561,0.65251,1.17035,0.94736,0.67214,0.76065,0.50402,1.19527,0.7372,1.44567,0.00349933,0.00349933,0.00349933
100,30451.6,1.05131,0.63765,1.16473,0.94695,0.67228,0.76093,0.50493,1.19518,0.73619,1.44481,0.003433,0.003433,0.003433
101,30756,1.06063,0.65273,1.16859,0.94635,0.67361,0.76158,0.50568,1.19524,0.73507,1.44465,0.00336667,0.00336667,0.00336667
102,31061.7,1.0526,0.6433,1.16852,0.94731,0.67352,0.76177,0.50577,1.19427,0.73401,1.44351,0.00330033,0.00330033,0.00330033
103,31366.1,1.05051,0.64311,1.16506,0.94754,0.67257,0.76175,0.50674,1.19426,0.7337,1.44321,0.003234,0.003234,0.003234
104,31671.1,1.04171,0.63279,1.15825,0.94762,0.67483,0.76443,0.50762,1.19397,0.73353,1.44279,0.00316767,0.00316767,0.00316767
105,31974.9,1.04576,0.62417,1.1609,0.94931,0.67578,0.76456,0.50703,1.19315,0.734,1.44219,0.00310133,0.00310133,0.00310133
106,32277.5,1.03799,0.62072,1.15342,0.9496,0.6757,0.76512,0.50758,1.19291,0.73306,1.44207,0.003035,0.003035,0.003035
107,32580.6,1.03581,0.62114,1.15785,0.95273,0.67443,0.76554,0.50868,1.19252,0.73302,1.44156,0.00296867,0.00296867,0.00296867
108,32885.5,1.04164,0.6285,1.1553,0.95197,0.67624,0.76587,0.51009,1.19122,0.73328,1.44072,0.00290233,0.00290233,0.00290233
109,33189.6,1.03447,0.6215,1.15716,0.95321,0.67417,0.76645,0.51049,1.19121,0.73217,1.44049,0.002836,0.002836,0.002836
110,33493.7,1.02847,0.61386,1.1515,0.95342,0.67419,0.76643,0.51043,1.19056,0.73159,1.44012,0.00276967,0.00276967,0.00276967
111,33796.4,1.02337,0.61431,1.15148,0.95251,0.67426,0.76772,0.51084,1.1904,0.73114,1.43988,0.00270333,0.00270333,0.00270333
112,34101.2,1.01889,0.59975,1.14412,0.95331,0.67441,0.76849,0.51162,1.18923,0.72991,1.43922,0.002637,0.002637,0.002637
113,34405.8,1.02198,0.6076,1.1495,0.95291,0.67439,0.76876,0.51115,1.18854,0.73009,1.43863,0.00257067,0.00257067,0.00257067
114,34709.1,1.01299,0.59867,1.14484,0.95374,0.67435,0.76879,0.51202,1.18716,0.73019,1.43755,0.00250433,0.00250433,0.00250433
115,35013.1,1.01287,0.59751,1.14685,0.95307,0.67468,0.7692,0.51273,1.18657,0.73003,1.43721,0.002438,0.002438,0.002438
116,35317.5,1.01159,0.59432,1.14078,0.95186,0.67399,0.76891,0.5135,1.18542,0.72993,1.4367,0.00237167,0.00237167,0.00237167
117,35622,1.00865,0.60277,1.14342,0.95651,0.673,0.76958,0.51358,1.18504,0.73012,1.43643,0.00230533,0.00230533,0.00230533
118,35926.3,0.99748,0.59105,1.13822,0.95532,0.67246,0.76965,0.51347,1.18393,0.72983,1.43564,0.002239,0.002239,0.002239
119,36229.5,0.99087,0.58349,1.13029,0.95597,0.67217,0.77003,0.51308,1.18322,0.72991,1.43482,0.00217267,0.00217267,0.00217267
120,36532.9,0.99646,0.58872,1.13835,0.95543,0.67208,0.77012,0.51323,1.18303,0.72962,1.43458,0.00210633,0.00210633,0.00210633
121,36835.5,0.98873,0.58034,1.12963,0.95544,0.67197,0.77021,0.5133,1.18287,0.72933,1.43481,0.00204,0.00204,0.00204
122,37139.7,0.98332,0.57815,1.12893,0.95696,0.67184,0.77043,0.51455,1.18176,0.72887,1.4338,0.00197367,0.00197367,0.00197367
123,37444.3,0.97235,0.56732,1.1223,0.95658,0.67178,0.7704,0.51477,1.18182,0.72805,1.43343,0.00190733,0.00190733,0.00190733
124,37748.4,0.97274,0.57183,1.12235,0.9561,0.6719,0.77088,0.51524,1.18132,0.72797,1.433,0.001841,0.001841,0.001841
125,38052.6,0.96973,0.57203,1.12337,0.95603,0.67222,0.77083,0.51604,1.18091,0.72736,1.43259,0.00177467,0.00177467,0.00177467
126,38356.9,0.9719,0.57083,1.12482,0.9564,0.67262,0.77067,0.5156,1.1801,0.72707,1.43199,0.00170833,0.00170833,0.00170833
127,38659.5,0.96145,0.56477,1.11721,0.9557,0.67243,0.77121,0.51687,1.17945,0.72749,1.43144,0.001642,0.001642,0.001642
128,38964,0.9567,0.55815,1.11458,0.95645,0.67228,0.76917,0.51722,1.17875,0.72797,1.43101,0.00157567,0.00157567,0.00157567
129,39270.9,0.95432,0.55401,1.11492,0.9584,0.67121,0.76923,0.51675,1.1783,0.72805,1.43065,0.00150933,0.00150933,0.00150933
130,39573.7,0.94708,0.54987,1.11094,0.95997,0.6705,0.76934,0.51681,1.17786,0.72841,1.43041,0.001443,0.001443,0.001443
131,39877,0.94244,0.546,1.10411,0.95968,0.67007,0.76961,0.51715,1.17758,0.7286,1.4302,0.00137667,0.00137667,0.00137667
132,40181.4,0.94349,0.54752,1.10742,0.95959,0.67058,0.7697,0.51721,1.1774,0.72875,1.43003,0.00131033,0.00131033,0.00131033
