epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,2547.35,1.15612,0.58024,1.0292,0.93826,0.92512,0.96776,0.67147,1.13617,0.54014,1.06142,0.0034,0.0034,0.0034
102,2571.78,1.14989,0.57957,1.02484,0.93834,0.92882,0.97124,0.67058,1.13231,0.53996,1.06468,0.003334,0.003334,0.003334
103,2596.2,1.15472,0.58049,1.0321,0.93621,0.92701,0.96822,0.67247,1.13548,0.53953,1.06115,0.003268,0.003268,0.003268
104,2620.62,1.15421,0.57862,1.02786,0.93635,0.92956,0.97135,0.67513,1.12843,0.53096,1.05914,0.003202,0.003202,0.003202
105,2645.31,1.1526,0.57948,1.03204,0.94023,0.9294,0.97028,0.67409,1.12787,0.53639,1.05378,0.003136,0.003136,0.003136
106,2669.88,1.14279,0.57372,1.02238,0.94066,0.92717,0.97009,0.67363,1.12553,0.53098,1.06015,0.00307,0.00307,0.00307
107,2694.57,1.15047,0.57407,1.026,0.93905,0.93059,0.96888,0.67429,1.13285,0.53206,1.06011,0.003004,0.003004,0.003004
108,2719.27,1.15474,0.58158,1.02973,0.93688,0.92797,0.96962,0.6699,1.13907,0.53725,1.06034,0.002938,0.002938,0.002938
109,2743.94,1.14537,0.57263,1.02765,0.93869,0.9294,0.969,0.67328,1.1319,0.52831,1.06016,0.002872,0.002872,0.002872
110,2768.59,1.14546,0.57185,1.02615,0.93428,0.93865,0.97188,0.67411,1.12648,0.5355,1.05578,0.002806,0.002806,0.002806
111,2793.27,1.14606,0.57175,1.02549,0.93995,0.93047,0.97183,0.67789,1.11795,0.52538,1.05188,0.00274,0.00274,0.00274
112,2818.26,1.13294,0.56269,1.02058,0.93941,0.92829,0.9714,0.67637,1.11451,0.52801,1.05221,0.002674,0.002674,0.002674
113,2843.22,1.14263,0.56923,1.02087,0.94495,0.92271,0.97055,0.67506,1.12438,0.52864,1.05281,0.002608,0.002608,0.002608
114,2867.9,1.1424,0.56772,1.02394,0.93659,0.93217,0.9726,0.67894,1.12738,0.52428,1.05334,0.002542,0.002542,0.002542
115,2892.5,1.13359,0.56407,1.02053,0.94517,0.92306,0.97011,0.68044,1.12386,0.52205,1.05338,0.002476,0.002476,0.002476
116,2916.91,1.13738,0.5667,1.02316,0.94462,0.92419,0.97036,0.67841,1.11711,0.51853,1.05063,0.00241,0.00241,0.00241
117,2941.43,1.13104,0.56647,1.01876,0.94588,0.92558,0.97074,0.67874,1.1183,0.52787,1.04995,0.002344,0.002344,0.002344
118,2965.93,1.1437,0.56546,1.02524,0.94348,0.93004,0.97125,0.67871,1.12159,0.52059,1.05057,0.002278,0.002278,0.002278
119,2990.35,1.12466,0.55774,1.01936,0.94258,0.93004,0.9723,0.67766,1.12177,0.52626,1.0542,0.002212,0.002212,0.002212
120,3014.83,1.12512,0.55881,1.01428,0.94765,0.92608,0.97093,0.67991,1.12057,0.51788,1.05103,0.002146,0.002146,0.002146
121,3039.51,1.12345,0.55488,1.01462,0.94641,0.92622,0.97115,0.67822,1.12126,0.52044,1.05437,0.00208,0.00208,0.00208
122,3064.26,1.11673,0.55258,1.01423,0.94418,0.93068,0.97187,0.68272,1.11768,0.51984,1.05465,0.002014,0.002014,0.002014
123,3088.78,1.12798,0.55592,1.01825,0.94488,0.92685,0.97205,0.68099,1.11757,0.52019,1.05473,0.001948,0.001948,0.001948
